 58  18  26   7 0.1000   5.00
  0.0900   2   0.0000   0.0000  0   0.0000
-0.110  3.721  4.283 0.81330890E+04
-0.022  3.731  4.236 0.82354300E+04
-0.016  3.730  4.227 0.82485150E+04
 0.006  3.728  4.195 0.83799500E+04
 0.047  3.724  4.136 0.89507550E+04
 0.115  3.716  4.037 0.96980700E+04
 0.172  3.683  3.850 0.10240180E+05
 0.208  3.665  3.742 0.10367980E+05
 0.266  3.655  3.644 0.10450260E+05
 0.400  3.645  3.468 0.10560240E+05
 0.522  3.639  3.323 0.10634100E+05
 0.665  3.632  3.153 0.10709740E+05
 0.791  3.626  3.001 0.10766760E+05
 0.910  3.620  2.856 0.10807600E+05
 1.046  3.612  2.687 0.10841650E+05
 1.150  3.605  2.557 0.10862690E+05
 1.260  3.597  2.417 0.10883120E+05
 1.380  3.588  2.260 0.10904600E+05
 1.491  3.580  2.117 0.10916210E+05
 1.618  3.569  1.944 0.10926420E+05
 1.732  3.560  1.796 0.10933650E+05
 1.843  3.549  1.641 0.10939360E+05
 1.965  3.539  1.478 0.10944100E+05
 2.074  3.527  1.322 0.10947590E+05
 2.187  3.519  1.179 0.10950560E+05
 2.301  3.505  1.004 0.10953120E+05
 2.423  3.491  0.828 0.10955240E+05
 2.515  3.477  0.682 0.10956680E+05
 2.630  3.460  0.496 0.10957950E+05
 2.724  3.448  0.355 0.10958950E+05
 2.824  3.434  0.200 0.10959890E+05
 2.927  3.419  0.035 0.10960650E+05
 3.035  3.402 -0.139 0.10961320E+05
 3.119  3.386 -0.285 0.10961800E+05
 3.212  3.368 -0.452 0.10962300E+05
 3.322  3.353 -0.622 0.10962800E+05
 3.345  3.350 -0.657 0.10962900E+05
  0.8000  43   0.4262   0.5654  0   0.0000
-0.431  3.696  4.504 0.00000000E+00
-0.329  3.718  4.490 0.67769400E+03
-0.268  3.721  4.441 0.31985900E+04
-0.259  3.721  4.432 0.35908700E+04
-0.221  3.720  4.390 0.52647800E+04
-0.185  3.716  4.338 0.69327700E+04
-0.166  3.715  4.315 0.75699800E+04
-0.163  3.715  4.312 0.76364700E+04
-0.112  3.721  4.284 0.81306300E+04
-0.022  3.731  4.236 0.82354300E+04
 0.000  3.729  4.204 0.82804900E+04
 0.029  3.726  4.162 0.87494000E+04
 0.114  3.716  4.039 0.96933700E+04
 0.169  3.689  3.873 0.10198400E+05
 0.173  3.681  3.841 0.10255500E+05
 0.220  3.660  3.709 0.10405500E+05
 0.334  3.648  3.546 0.10517300E+05
 0.468  3.642  3.387 0.10604700E+05
 0.598  3.636  3.234 0.10675000E+05
 0.729  3.629  3.076 0.10742800E+05
 0.861  3.622  2.916 0.10793700E+05
 0.983  3.616  2.767 0.10828100E+05
 1.113  3.607  2.603 0.10855900E+05
 1.239  3.599  2.445 0.10879000E+05
 1.361  3.589  2.285 0.10902500E+05
 1.476  3.581  2.137 0.10915000E+05
 1.599  3.570  1.969 0.10925200E+05
 1.725  3.561  1.806 0.10933300E+05
 1.852  3.548  1.629 0.10939800E+05
 1.973  3.538  1.467 0.10944400E+05
 2.087  3.526  1.304 0.10948000E+05
 2.208  3.518  1.153 0.10951100E+05
 2.319  3.502  0.976 0.10953500E+05
 2.432  3.490  0.815 0.10955400E+05
 2.536  3.474  0.648 0.10957000E+05
 2.654  3.456  0.456 0.10958200E+05
 2.765  3.443  0.295 0.10959400E+05
 2.874  3.427  0.120 0.10960300E+05
 2.979  3.411 -0.049 0.10961000E+05
 3.084  3.395 -0.216 0.10961600E+05
 3.171  3.374 -0.386 0.10962100E+05
 3.275  3.359 -0.551 0.10962600E+05
 3.345  3.350 -0.657 0.10962900E+05
  0.9000  43   0.4252   0.7185  0   0.0000
-0.217  3.718  4.428 0.00000000E+00
-0.097  3.743  4.410 0.45733360E+03
-0.045  3.743  4.356 0.21384930E+04
-0.038  3.742  4.345 0.24040170E+04
-0.006  3.738  4.297 0.35468810E+04
 0.026  3.732  4.240 0.46991920E+04
 0.044  3.730  4.214 0.51420600E+04
 0.046  3.730  4.211 0.51883800E+04
 0.098  3.735  4.181 0.55120940E+04
 0.207  3.749  4.129 0.55799100E+04
 0.222  3.747  4.106 0.56046200E+04
 0.267  3.738  4.021 0.58581780E+04
 0.328  3.719  3.885 0.63793650E+04
 0.326  3.671  3.700 0.66814310E+04
 0.355  3.664  3.642 0.67176520E+04
 0.461  3.650  3.479 0.68037500E+04
 0.582  3.644  3.332 0.68631100E+04
 0.699  3.638  3.192 0.69100310E+04
 0.813  3.632  3.054 0.69492840E+04
 0.964  3.624  2.869 0.69870050E+04
 1.101  3.615  2.698 0.70145770E+04
 1.211  3.608  2.558 0.70333080E+04
 1.315  3.600  2.424 0.70490990E+04
 1.416  3.592  2.292 0.70629870E+04
 1.538  3.583  2.133 0.70775280E+04
 1.645  3.573  1.988 0.70853300E+04
 1.756  3.564  1.841 0.70918710E+04
 1.866  3.554  1.691 0.70972360E+04
 1.985  3.544  1.529 0.71016880E+04
 2.088  3.534  1.386 0.71049070E+04
 2.191  3.524  1.243 0.71075320E+04
 2.300  3.513  1.091 0.71098380E+04
 2.394  3.502  0.952 0.71116790E+04
 2.494  3.491  0.809 0.71131890E+04
 2.597  3.477  0.649 0.71144860E+04
 2.689  3.462  0.497 0.71154870E+04
 2.803  3.446  0.320 0.71165200E+04
 2.900  3.434  0.174 0.71172970E+04
 2.988  3.421  0.033 0.71179260E+04
 3.083  3.406 -0.120 0.71184800E+04
 3.172  3.392 -0.268 0.71189450E+04
