 64  24  26   7 0.0004   7.00
  0.0900   2   0.0000   0.0000  0   0.0000
 1.004  3.867  3.890 0.43896220E+04
 1.043  3.834  3.717 0.44504290E+04
 1.066  3.797  3.546 0.44913430E+04
 1.067  3.793  3.531 0.44953030E+04
 1.070  3.782  3.485 0.45074600E+04
 1.079  3.752  3.355 0.45483010E+04
 1.092  3.748  3.327 0.45567470E+04
 1.166  3.737  3.208 0.45878510E+04
 1.291  3.730  3.056 0.46196980E+04
 1.420  3.726  2.910 0.46463050E+04
 1.547  3.723  2.769 0.46672760E+04
 1.673  3.718  2.626 0.46839700E+04
 1.796  3.713  2.484 0.46972290E+04
 1.921  3.709  2.340 0.47082230E+04
 2.030  3.705  2.217 0.47172900E+04
 2.087  3.704  2.154 0.47220900E+04
 2.069  3.704  2.174 0.47242300E+04
 2.169  3.701  2.063 0.47315670E+04
 2.263  3.698  1.956 0.47371280E+04
 2.373  3.694  1.828 0.47417810E+04
 2.489  3.689  1.693 0.47455850E+04
 2.599  3.684  1.564 0.47485020E+04
 2.716  3.679  1.424 0.47510610E+04
 2.828  3.674  1.292 0.47532690E+04
 2.937  3.669  1.164 0.47550290E+04
 3.055  3.660  1.012 0.47565780E+04
 3.182  3.653  0.857 0.47579650E+04
 3.245  3.651  0.785 0.47586200E+04
 3.240  3.651  0.790 0.47586210E+04
  1.1000  45   0.4810   1.0173  0   0.0000
 0.348  3.864  4.534 0.00000000E+00
 0.402  3.872  4.512 0.62351800E+03
 0.464  3.880  4.482 0.13912000E+04
 0.522  3.887  4.451 0.20235900E+04
 0.577  3.893  4.419 0.25493400E+04
 0.634  3.899  4.386 0.29855400E+04
 0.688  3.903  4.349 0.33446500E+04
 0.705  3.903  4.333 0.34539300E+04
 0.733  3.902  4.299 0.36424500E+04
 0.750  3.901  4.278 0.37427900E+04
 0.756  3.901  4.274 0.37706000E+04
 0.796  3.908  4.264 0.38693000E+04
 0.823  3.912  4.251 0.38940300E+04
 0.835  3.911  4.235 0.39132600E+04
 0.849  3.909  4.215 0.39680500E+04
 0.950  3.893  4.048 0.42849400E+04
 1.011  3.864  3.870 0.44028700E+04
 1.045  3.832  3.708 0.44533400E+04
 1.066  3.799  3.554 0.44892300E+04
 1.070  3.783  3.489 0.45063100E+04
 1.064  3.766  3.426 0.45262900E+04
 1.057  3.758  3.402 0.45342300E+04
 1.120  3.740  3.265 0.45752800E+04
 1.128  3.739  3.255 0.45775200E+04
 1.249  3.732  3.105 0.46102800E+04
 1.369  3.727  2.967 0.46369500E+04
 1.488  3.724  2.834 0.46586000E+04
 1.609  3.721  2.700 0.46764000E+04
 1.729  3.716  2.561 0.46906600E+04
 1.848  3.711  2.423 0.47023600E+04
 1.967  3.707  2.287 0.47119200E+04
 2.087  3.704  2.154 0.47220900E+04
 2.069  3.704  2.174 0.47242300E+04
 2.090  3.704  2.152 0.47258000E+04
 2.215  3.700  2.011 0.47349300E+04
 2.339  3.695  1.868 0.47406000E+04
 2.460  3.690  1.726 0.47448000E+04
 2.582  3.685  1.584 0.47481300E+04
 2.706  3.679  1.436 0.47508600E+04
 2.828  3.674  1.292 0.47532700E+04
 2.950  3.668  1.149 0.47552300E+04
 3.065  3.659  0.999 0.47567100E+04
 3.185  3.653  0.853 0.47580000E+04
 3.245  3.651  0.785 0.47586200E+04
 3.240  3.651  0.790 0.47586210E+04
  1.2000  45   0.4798   1.1270  0   0.0000
 0.524  3.900  4.542 0.00000000E+00
 0.570  3.909  4.530 0.42400970E+03
 0.625  3.917  4.505 0.95497050E+03
 0.677  3.923  4.477 0.13998490E+04
 0.727  3.927  4.446 0.17745710E+04
 0.776  3.931  4.414 0.20899810E+04
 0.822  3.935  4.380 0.23544900E+04
 0.840  3.934  4.360 0.24607330E+04
 0.871  3.930  4.312 0.26431340E+04
 0.890  3.928  4.285 0.27397840E+04
 0.896  3.927  4.277 0.27664800E+04
 0.934  3.936  4.275 0.28428950E+04
 0.973  3.945  4.271 0.28617900E+04
 0.986  3.942  4.247 0.28750520E+04
 1.003  3.938  4.215 0.29127570E+04
 1.090  3.919  4.050 0.31343770E+04
 1.145  3.883  3.852 0.32186690E+04
 1.173  3.839  3.646 0.32551400E+04
 1.185  3.796  3.465 0.32814880E+04
 1.174  3.780  3.407 0.32944010E+04
 1.156  3.759  3.342 0.33100200E+04
 1.152  3.752  3.320 0.33162860E+04
 1.229  3.738  3.187 0.33483350E+04
 1.235  3.738  3.178 0.33500460E+04
 1.352  3.732  3.037 0.33752940E+04
 1.468  3.727  2.904 0.33960380E+04
 1.581  3.724  2.777 0.34130730E+04
 1.698  3.720  2.646 0.34272860E+04
 1.813  3.715  2.513 0.34387950E+04
 1.927  3.711  2.382 0.34483500E+04
 2.039  3.708  2.255 0.34562620E+04
 2.146  3.704  2.134 0.34647500E+04
 2.117  3.705  2.168 0.34665800E+04
 2.137  3.705  2.145 0.34679230E+04
